FLAG,max value received ,total Ether sent,total ether balance,total tnx,avg total val
0,45.806785,865.6910932,-279.2244185,810,7.7901940000000005
0,2.613269,3.08729702,-0.001818811,102,0.418529
0,1.165453,3.58861565,0.000441,12,2.153214
0,500.0,1750.0458620000004,-854.6463028999998,34,169.490674
0,12.802411,104.3188828,-50.89698629,4618,2.6937830000000003
0,4.813776,9.70371586,0.001008,5,8.086766
0,2.65,12.0623941,0.016871896,36,1.580611
0,2.0,8.703392156,-4.2479024160000005,218,0.931959
0,2.0,1.99938,0.00062,2,3.99938
0,40.0,149.077,-98.977,11,35.334625
0,1.014875,10.04055439,0.007636018,20,2.0088739999999996
0,81.38600000000002,831.799,0.004047714,254,107.356188
0,1.002069,0.0,12.30665958,16,0.769166
0,0.265159,0.262941117,0.097217423,9,0.217642
0,1499.9995800000004,3273.988723,-1422.982347,56,179.437414
0,1.0,1.5051029580000002,0.086741405,37,0.5748829999999999
0,0.277689,11.6048114,0.023940002,114,0.407606
0,34.94,257.307,-75.09543387,37,26.461111000000002
0,19.995,27.765677,0.001323,5,23.138726
0,56.95111800000001,100.9989738,0.001026218,4,100.999487
0,12.782766,0.0,101.9235724,18,5.662421
0,17.949074,157.09235049999995,-98.24164672,14,30.849007000000007
0,5.0,8.747754943,0.002245057,9,3.9370510000000003
0,0.501254,10.1,33.07587621,134,1.605166
0,11.291416,0.0,82.62366163,17,4.860215
0,4.999,4.99774,0.00126,2,9.996739999999999
0,30.0,62.341,-27.341,85,12.426923
0,0.5476489999999999,0.54638892,0.00126,2,1.0940379999999998
0,2.337156,8.419634776,-3.882478376,7,3.6172940000000002
0,1100.0,2540.083853,-188.368881,73,211.03190999999998
0,1.002204,0.0,26.75944516,53,0.504895
0,20.799,56.21491815,0.00761642,21,10.732631999999999
0,1.7479810000000002,0.0,1.74798122,3,1.7479810000000002
0,0.1,0.110734264,0.039265736,12,0.086073
0,22.0,0.0,1123.399095,694,1.618731
0,3140.99958,225938.9558,-2891.354427,8959,112.46853800000001
0,0.003,0.0,0.003,2,0.003
0,3.602495,4618.790832,0.03299662,4443,68.979126
0,3.508474,11.050999999999998,-5.467189299999999,7,5.07962
0,20.0,0.0,44.0,10000,11.0
0,49.995,56.03738689,0.952613114,12,25.223042999999997
0,45.4,264.26,-88.86,21,42.25269200000001
0,1.515068,13.5,-8.166350999999999,9,5.388941
0,51.0,76.16345259,-17.34361821,39,12.111289
0,101.0,100.9989738,0.001026218,3,151.499487
0,10.0,15.68959511,0.003489099,12,5.230447
0,6.995,13.911496,-6.9114960000000005,5,9.289081
0,4.0,8.351405032999999,-1.6564050330000002,15,2.432969
0,799.99874,33867.26324,-10.64504551,4024,34.012536
0,174.995,714.2,-398.775,17,122.60166700000002
0,972.434,3001.833603,-629.3501786,48,268.265399
0,10.0,101.5119377,-91.51193767,9,22.688992
0,117.7,595.1846,-34.0981,321,7.296074000000001
0,99.99,324.407,-66.3030896,58,32.56887
0,12867.39971,148146.1047,-3743.443847,10000,65.226012
0,1.3,6.283183805,0.002762225,12,2.094855
0,0.34,0.439653612,0.0013463879999999,6,0.293551
0,6.12616,6.86172829,0.00536902,7,4.805895
0,0.8548709999999999,0.85382138,0.00105,2,1.7086919999999999
0,0.134989,0.13456893,0.00042,2,0.26955799999999996
0,0.125315,0.80657981,0.05797088,34,0.098302
0,27.48646,7.093,42.06374870000001,15,7.1578800000000005
0,379.0,675.82347,0.090278633,31,88.032737
0,1.169147,3.789138127,-1.622766947,17,0.691811
0,2.1578880000000003,200.883777,50.00667943,1054,6.941135999999999
0,69.995,80.28824888,-3.670073533,130,13.417182
0,10.805,15.84309204,0.001907957,6,10.562698
0,0.669937,0.86268094,0.0048509999999999,9,0.38917599999999997
0,12.0,11.999559,0.000441,2,23.999558999999998
0,20.0,39.90586873,-19.90586873,5,23.301956
0,1897.438127,2000.998113,0.001886545,6,1500.749528
0,2.1609830000000003,57.00443406,0.012708609,52,4.411512
0,23.601366,94.52136494,-17.96892874,13,26.689622999999997
0,27.517666,68.50535928,0.004221,11,25.119476
0,44.425356,432.1857424,-14.6304328,174,11.450185000000001
0,8.995,49.35013842,0.025560232,33,6.464649
0,20.095,111.2229715,-50.42288815,32,11.591346
0,10.0,17.89714367,-0.367999256,25,3.0662540000000007
0,600.98832,1394.199349,-14.37230628,1175,73.82853100000001
0,40.136798,342.1772031000001,-79.63904036,112,14.434598
0,250.5,253.2,0.31,20,79.2025
0,790.9994370000002,4944.136269,-1633.635915,79,211.250752
0,101.0,100.99748,0.00252,6,121.199496
0,23.462797,0.0,46.27232361,33,1.402192
0,0.405838,0.614,0.35855313,69,0.131635
0,0.4494770000000001,0.44727692,0.0022,2,0.896754
0,0.86761,0.8669901309999999,0.00062,2,1.7346
0,0.46,0.8401762740000001,-0.380176274,5,0.510059
0,200.0,764.6123200000002,-18.67313494,125,27.643918999999997
0,1563.2126970000004,2000.998585,0.001414909,5,1667.499528
